Suburb,Rooms,Type,Price,Date,Distance,Bathroom,Car,BuildingArea,Regionname,Age
Abbotsford,2,h,1035000,2016,2.5,1,0,79,Northern Metropolitan,116
Abbotsford,3,h,1465000,2017,2.5,2,0,150,Northern Metropolitan,117
Abbotsford,4,h,1600000,2016,2.5,1,2,142,Northern Metropolitan,2
Abbotsford,3,h,1876000,2016,2.5,2,0,210,Northern Metropolitan,106
Abbotsford,2,h,1636000,2016,2.5,1,2,107,Northern Metropolitan,126
Abbotsford,2,h,1097000,2016,2.5,1,2,75,Northern Metropolitan,116
Abbotsford,3,h,1350000,2016,2.5,2,2,190,Northern Metropolitan,11
Abbotsford,2,h,1310000,2016,2.5,1,2,97,Northern Metropolitan,126
Abbotsford,3,h,1200000,2016,2.5,2,1,110,Northern Metropolitan,136
Abbotsford,3,h,1176500,2016,2.5,1,1,105,Northern Metropolitan,126
Abbotsford,2,h,890000,2016,2.5,1,1,73,Northern Metropolitan,31
Abbotsford,4,h,1330000,2017,2.5,2,2,135,Northern Metropolitan,117
Abbotsford,2,h,1100000,2016,2.5,2,1,135,Northern Metropolitan,3
Abbotsford,2,h,1315000,2016,2.5,1,0,85,Northern Metropolitan,116
Abbotsford,3,h,1447500,2016,2.5,3,1,174,Northern Metropolitan,4
Abbotsford,2,h,1135000,2016,2.5,2,2,128,Northern Metropolitan,96
Abbotsford,3,h,1290000,2017,2.5,1,1,124,Northern Metropolitan,67
Abbotsford,2,h,1180000,2016,2.5,1,0,91,Northern Metropolitan,116
Abbotsford,3,h,1195000,2016,2.5,2,1,128,Northern Metropolitan,18
Abbotsford,2,h,1012500,2016,2.5,1,0,82,Northern Metropolitan,116
Abbotsford,2,h,1030000,2016,2.5,1,1,81,Northern Metropolitan,86
Airport West,3,t,840000,2016,13.5,2,1,225,Western Metropolitan,0
Airport West,2,h,603000,2017,13.5,1,1,84,Western Metropolitan,67
Airport West,3,t,700000,2017,13.5,2,2,134,Western Metropolitan,8
Airport West,3,h,600000,2017,13.5,1,1,116,Western Metropolitan,37
Airport West,2,u,500000,2017,13.5,1,1,86,Western Metropolitan,6
Airport West,6,h,725000,2016,13.5,3,2,186,Western Metropolitan,36
Airport West,2,t,450000,2016,13.5,1,1,90,Western Metropolitan,1
Airport West,2,u,515000,2016,13.5,1,1,73,Western Metropolitan,3
Airport West,2,u,530000,2016,13.5,1,1,94,Western Metropolitan,4
Airport West,3,h,895000,2016,13.5,1,6,133,Western Metropolitan,41
Airport West,3,u,752000,2017,13.5,1,1,130,Western Metropolitan,24
Airport West,3,t,700000,2016,13.5,2,2,133,Western Metropolitan,7
Airport West,3,h,830000,2016,13.5,1,2,113,Western Metropolitan,56
Airport West,2,h,675000,2016,13.5,1,1,100,Western Metropolitan,41
Airport West,3,h,1042000,2016,13.5,2,5,174,Western Metropolitan,66
Airport West,4,h,773000,2016,13.5,3,4,309,Western Metropolitan,36
Airport West,3,h,810000,2017,13.5,3,2,192,Western Metropolitan,37
Airport West,3,h,715000,2017,13.5,2,2,126,Western Metropolitan,22
Airport West,3,t,540000,2016,13.5,2,1,101,Western Metropolitan,6
Airport West,3,t,825000,2016,13.5,2,1,102,Western Metropolitan,56
Airport West,3,h,685000,2016,13.5,1,1,113,Western Metropolitan,41
Airport West,4,h,900000,2016,13.5,2,3,146,Western Metropolitan,41
Albert Park,2,h,1275000,2016,3.3,1,0,82,Southern Metropolitan,116
Albert Park,3,h,2850000,2017,3.3,2,0,198,Southern Metropolitan,127
Albert Park,3,h,1850000,2017,3.3,2,0,133,Southern Metropolitan,127
Albert Park,2,h,1436000,2017,3.3,1,0,81,Southern Metropolitan,117
Albert Park,4,h,2300000,2016,3.3,2,1,180,Southern Metropolitan,136
Albert Park,3,h,1800000,2016,3.3,2,1,159,Southern Metropolitan,20
Albert Park,2,h,2120000,2016,3.3,1,1,107,Southern Metropolitan,116
Albert Park,3,h,1800000,2016,3.3,2,1,122,Southern Metropolitan,116
Albert Park,3,h,2615000,2016,3.3,2,1,181,Southern Metropolitan,136
Albert Park,2,h,1322500,2016,3.3,1,0,98,Southern Metropolitan,126
Albert Park,2,h,1562500,2016,3.3,1,0,83,Southern Metropolitan,126
Albert Park,3,h,2000000,2016,3.3,2,1,147,Southern Metropolitan,116
